qc_id,fid,cd_mun,nm_mun,sigla_uf,area_km2,densidade,densidadee,população pb _população,icon_url
"0","1","2500106",Água Branca,PB,241.662,"0",0.043,10.306,./0.png
"1","2","2500205",Aguiar,PB,351.607,"0",0.016,5.63,./0.png
"2","3","2500304",Alagoa Grande,PB,322.071,"0",0.088,28.439,./1.png
"3","4","2500403",Alagoa Nova,PB,128.23,"0",0.163,20.921,./2.png
"4","5","2500502",Alagoinha,PB,111.361,"0",0.131,14.56,./1.png
"5","6","2500536",Alcantil,PB,309.896,"0",0.018,5.509,./0.png
"6","7","2500577",Algodão de Jandaíra,PB,222.74,"0",0.012,2.577,./0.png
"7","8","2500601",Alhandra,PB,183.974,"0",0.107,19.727,./1.png
"8","9","2500700",São João do Rio do Peixe,PB,476.238,"0",0.038,18.026,./0.png
"9","10","2500734",Amparo,PB,122.094,"0",0.018,2.251,./0.png
"10","11","2500775",Aparecida,PB,291.478,"0",0.029,8.416,./0.png
"11","12","2500809",Araçagi,PB,232.177,"0",0.073,16.921,./1.png
"12","13","2500908",Arara,PB,91.306,"0",0.148,13.542,./1.png
"13","14","2501005",Araruna,PB,246.717,"0",0.083,20.463,./1.png
"14","15","2501104",Areia,PB,269.13,"0",0.084,22.656,./1.png
"15","16","2501153",Areia de Baraúnas,PB,114.078,"0",0.019,2.116,./0.png
"16","17","2501203",Areial,PB,35.81,"0",0.196,7.027,./2.png
"17","18","2501302",Aroeiras,PB,376.118,"0",0.051,19.116,./0.png
"18","19","2501351",Assunção,PB,132.139,"0",0.03,4.029,./0.png
"19","20","2501401",Baía da Traição,PB,102.756,"0",0.089,9.096,./1.png
"20","21","2501500",Bananeiras,PB,255.641,"0",0.083,21.269,./1.png
"21","22","2501534",Baraúna,PB,50.03,"0",0.099,4.964,./1.png
"22","23","2501575",Barra de Santana,PB,375.177,"0",0.022,8.349,./0.png
"23","24","2501609",Barra de Santa Rosa,PB,781.187,"0",0.02,15.497,./0.png
"24","25","2501708",Barra de São Miguel,PB,609.697,"0",0.01,6.065,./0.png
"25","26","2501807",Bayeux,PB,27.705,"4",3.509,97.203,./3.png
"26","27","2501906",Belém,PB,99.609,"0",0.178,17.705,./2.png
"27","28","2502003",Belém do Brejo do Cruz,PB,601.549,"0",0.012,7.349,./0.png
"28","29","2502052",Bernardino Batista,PB,57.453,"0",0.062,3.536,./0.png
"29","30","2502102",Boa Ventura,PB,168.664,"0",0.031,5.307,./0.png
"30","31","2502151",Boa Vista,PB,468.933,"0",0.015,7.136,./0.png
"31","32","2502201",Bom Jesus,PB,47.367,"0",0.054,2.575,./0.png
"32","33","2502300",Bom Sucesso,PB,186.059,"0",0.027,4.956,./0.png
"33","34","2502409",Bonito de Santa Fé,PB,226.798,"0",0.053,12.022,./0.png
"34","35","2502508",Boqueirão,PB,373.077,"0",0.048,17.87,./0.png
"35","36","2502607",Igaracy,PB,197.058,"0",0.031,6.105,./0.png
"36","37","2502706",Borborema,PB,26.107,"0",0.203,5.287,./2.png
"37","38","2502805",Brejo do Cruz,PB,401.315,"0",0.035,14.206,./0.png
"38","39","2502904",Brejo dos Santos,PB,93.857,"0",0.069,6.464,./0.png
"39","40","2503001",Caaporã,PB,151.018,"0",0.145,21.955,./1.png
"40","41","2503100",Cabaceiras,PB,469.171,"0",0.012,5.661,./0.png
"41","42","2503209",Cabedelo,PB,29.873,"2",2.302,68.767,./3.png
"42","43","2503308",Cachoeira dos Índios,PB,193.215,"0",0.053,10.305,./0.png
"43","44","2503407",Cacimba de Areia,PB,213.018,"0",0.017,3.695,./0.png
"44","45","2503506",Cacimba de Dentro,PB,165.072,"0",0.104,17.178,./1.png
"45","46","2503555",Cacimbas,PB,124.068,"0",0.058,7.199,./0.png
"46","47","2503605",Caiçara,PB,123.677,"0",0.058,7.191,./0.png
"47","48","2503704",Cajazeiras,PB,562.703,"0",0.111,62.289,./1.png
